seed,cost_wan,carbon_t,latency_ms,nu_pct,policy
1,183881.68618144115,2015909.0424380295,27.0472671282829,32.85056696878842,"[8.534474730996575, 0.0, 13.876620479276855, 11.418267075696384, 9.718825198079406e-05]"
1,184196.20971190938,2018610.7748096506,25.99062731202357,32.83069487680868,"[12.988825036627425, 0.002046612922694312, 2.883171590945887, 10.448612082759084, 0.009020619115706402]"
1,184127.25186901618,2017620.134038999,26.01172961943457,32.84022545166978,"[12.55583827172588, 0.0, 6.194984925669922, 12.69471364150458, 0.0014180251894545773]"
1,184027.1121032096,2017199.0670117163,26.556982181268346,32.83995937088149,"[10.207172025149132, 0.0, 11.428032235931571, 10.540158063358566, 0.005358063682656043]"
1,184294.0811782405,2018771.148360448,25.396928105545637,32.83287189542683,"[15.0, 0.0, 6.023397987271876, 7.488941351545379, 0.0]"
1,184734.27518707758,2025392.6590178842,25.300463178746433,32.76978528381951,"[14.221896715511898, 0.05724884033562156, 7.30029853040077, 14.61115289332906, 0.06126900138923941]"
1,184347.77042640845,2019573.2954465416,25.383114911551424,32.825317189325865,"[14.22850331268067, 0.0, 4.545495135182474, 10.60743765287118, 0.007838695744293422]"
1,184204.97757791224,2018187.4759726468,25.73948147813318,32.8376874283127,"[13.549503087623213, 0.0, 4.516320764334671, 11.602857291080818, 0.00066500906262532]"
1,183771.15191369347,2015254.7489036322,27.553887440460482,32.853024917221795,"[5.728651153182617, 0.011939723246243776, 9.720560330759643, 12.180144725927214, 0.0005401917087473261]"
1,183796.2474157287,2015279.0065652318,27.393119987150484,32.85290503135159,"[6.43053590352499, 0.0010775948375474737, 9.997331654524812, 12.209536560252648, 0.0]"
1,183845.512485395,2015702.459035795,27.208818751539656,32.85063756569642,"[7.623010826608584, 0.011698347195436184, 10.916121907421683, 12.337119948076932, 0.00014597035880396626]"
1,183810.3112370613,2015481.7784217591,27.38713634977233,32.85081163819006,"[6.052696465884199, 0.011939723246243776, 9.720560330759643, 12.180144725927214, 0.0005351468102971629]"
1,184054.7805731425,2017069.1126165804,26.28738355505838,32.84349576673915,"[11.499723779431273, 0.0, 12.812026187474848, 10.996461027259285, 0.0]"
1,183730.31412218785,2014849.861132524,27.71591675114629,32.85567328415816,"[4.363853766658929, 0.0, 9.778850863665255, 13.600396655374952, 0.0]"
